"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Missouri","NOx",,1.33,0.33,,1.39,0.34,0.27,0.07,0.02,0.35,0.46,0.07,0.34,0.66,0.73,1.08,0.91,0.67,0.37,1.05,2.01,1.35,0.77,0.59,0.64,0.86,0.61,0.63,0.64,1.11,0.47,1.55,0.47
"Montana","CH4",1.21,2.47,0.06,0.01,8.27,0.01,1.6,0,1.83,0.51,44.73,17.56,1.68,61.51,0.44,4.67,24.85,55.6,1.34,2.82,0.65,8.19,14.75,5.73,0.48,26.86,2.58,56.37,7.68,1.11,4.08,31.73,6.65
"Montana","N2O",0.08,0.16,0.01,0,0.5,0,0.1,0,0.11,0.04,2.44,0.92,0.13,3.34,0.03,0.27,1.54,3,0.09,0.16,0.04,0.48,1.04,0.32,0.03,1.43,0.15,3.29,0.42,0.08,0.27,1.85,0.37
"Montana","CO",25.72,52.4,1.19,0.17,169.84,0.15,33.29,0.04,37.45,10.65,919.33,356.77,34.43,1250.3,9.1,96.29,515.73,1138.64,26.98,58.33,13.46,166.46,299.59,117.88,9.9,546.74,53.03,1159.37,156.92,23.19,83.42,654.08,136.83
"Montana","NOx",0.61,1.04,0.06,0.01,3.41,0.01,0.71,0,0.67,0.4,12.42,4.63,1.39,18.66,0.29,1.63,10.17,15.32,0.7,0.88,0.3,3.21,9.81,1.62,0.21,7.33,0.88,20.49,2.17,0.63,2.12,10.81,1.97
"Nebraska","CH4",,0,,,,0,0,0,0,0,0.06,0.02,0.03,0,0.01,0.01,1.7,0.02,0.03,0.09,0.03,0.03,3.53,0.02,0,0.01,0.02,0.01,0.01,0,0.03,0.27,0.41
"Nebraska","N2O",,0,,,,0,0,0,0,0,0.01,0,0,0,0,0,0.15,0,0,0.01,0,0,0.31,0,0,0,0,0,0,0,0,0.02,0.03
"Nebraska","CO",,0,,,,0,0,0.03,0.06,0,1.16,0.46,0.64,0.03,0.41,0.14,34.07,0.35,0.78,2.65,0.57,0.76,70.65,0.66,0.1,0.13,0.36,0.13,0.38,0,0.6,5.4,8.1
"Nebraska","NOx",,0,,,,0,0,0,0,0,0.07,0.02,0.04,0,0.01,0.01,1.96,0.02,0.02,0.08,0.03,0.02,4.01,0.02,0,0,0.02,0.01,0.01,0,0.02,0.21,0.31
"Nevada","CH4",0.01,0.04,0.26,0,0.31,0.04,0.5,0.01,0.01,1.02,0.65,1.15,0.1,0.03,0.47,0.22,0.66,0.33,1.79,0.15,0.02,0.48,1.29,1.51,0.5,0.05,0.39,0.07,1.76,0.01,0.11,0.35,0.15
"Nevada","N2O",0,0.01,0.03,0,0.03,0,0.05,0,0,0.08,0.05,0.09,0.01,0,0.03,0.02,0.07,0.03,0.12,0.01,0,0.05,0.14,0.11,0.03,0,0.02,0,0.13,0,0.01,0.02,0.01
"Nevada","CO",0.13,1.02,5.91,0.04,6.65,0.89,11.08,0.12,0.18,21.42,13.85,25.01,2.22,0.71,9.68,5.02,14.68,7.33,37.5,2.97,0.51,10.85,29.61,31.54,10.62,1.07,7.95,1.32,37.43,0.33,2.19,7.09,3.14
"Nevada","NOx",0.01,0.05,0.23,0,0.22,0.04,0.44,0,0.01,0.71,0.35,0.74,0.04,0.02,0.22,0.22,0.59,0.27,0.85,0.08,0.01,0.47,1.24,0.8,0.22,0.03,0.11,0.02,0.89,0.01,0.04,0.1,0.05
"New Hampshire","CH4",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0.01
"New Hampshire","N2O",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0
"New Hampshire","CO",,,,,,,,,,,,,,,,0.09,,,,,0.01,,,,,,,,,,,,0.28
"New Hampshire","NOx",,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0.01
"New Jersey","CH4",0.09,0.2,0.58,0.08,0.01,0.64,0.2,0.18,0.13,0.41,0.06,0.23,0.13,0.05,0.13,0.07,0.1,0.43,0.11,,0.07,,0.05,,0.05,0.06,0.02,0.06,0.03,0.17,0.04,0.08,0.16
"New Jersey","N2O",0.01,0.01,0.04,0.01,0,0.04,0.02,0.01,0.01,0.02,0,0.02,0.01,0,0.01,0,0.01,0.03,0.01,,0,,0,,0,0,0,0,0,0.01,0,0.01,0.01
"New Jersey","CO",2.34,4.54,12.89,1.87,0.24,14.4,5.15,4.32,2.76,8.6,1.42,5.77,3.08,1.02,2.85,1.36,2.08,9.4,2.59,,1.56,,1.16,,1.41,1.39,0.49,1.16,0.69,3.72,1.05,1.85,4.38
"New Jersey","NOx",0.06,0.11,0.32,0.05,0.01,0.35,0.13,0.11,0.06,0.19,0.04,0.15,0.07,0.02,0.07,0.03,0.04,0.22,0.07,,0.04,,0.03,,0.04,0.03,0.01,0.03,0.01,0.09,0.03,0.04,0.11
"New Mexico","CH4",0.19,0.09,1.35,4.71,1.42,4.83,3.21,1.71,1.08,0.56,7.32,0.71,8.41,8.47,4.95,3.55,3.65,0.81,0.98,2.24,1.45,13.68,8.67,7.33,1.27,0.69,1.59,1.86,5.35,0.98,3.02,3.77,37.15
"New Mexico","N2O",0.01,0.01,0.1,0.32,0.09,0.32,0.23,0.12,0.07,0.04,0.51,0.06,0.58,0.59,0.32,0.26,0.26,0.06,0.07,0.16,0.1,0.91,0.6,0.46,0.09,0.05,0.13,0.15,0.42,0.08,0.23,0.31,2.63
"New Mexico","CO",3.97,1.72,26.99,95.5,29.26,98.85,66.45,34.87,22.55,11.39,150.52,14.32,174.22,172.05,101.39,71.35,73.63,16.13,19.93,45.41,29.64,284.91,178.55,152.95,25.98,13.96,32.09,37.92,109.22,19.93,61.02,76.41,761.79
"New Mexico","NOx",0.11,0.07,0.91,2.68,0.68,2.45,1.86,0.97,0.54,0.39,3.9,0.53,4.38,4.87,2.27,2.36,2.37,0.59,0.6,1.39,0.84,6.45,4.58,2.77,0.77,0.5,1.21,1.39,3.8,0.74,2.18,2.99,21.01
"New York","CH4",,,,,0,,,,,,,,0,,,,0.02,,0.09,,0,,0.02,0,,0.18,0.09,,0.01,,0.01,0,0
"New York","N2O",,,,,0,,,,,,,,0,,,,0,,0.01,,0,,0,0,,0.01,0.01,,0,,0,0,0
"New York","CO",,,,,0.01,,,,,,,,0.07,,,,0.68,,2.25,,0.11,,0.62,0,,4.41,2.19,,0.33,,0.29,0.02,0.01
"New York","NOx",,,,,0,,,,,,,,0,,,,0.02,,0.06,,0,,0.02,0,,0.11,0.06,,0.01,,0.01,0,0
"North Carolina","CH4",0.07,0.04,0.02,0.07,0.11,0.06,0.01,0.01,0.11,0.42,1.12,0.45,0.23,0.25,0.15,0.14,0.32,0.75,0.53,0.36,0.42,0.71,0.31,0.4,0.25,0.47,3.85,0.7,0.22,0.31,0.28,0.43,0.31
"North Carolina","N2O",0.01,0,0,0.01,0.01,0.01,0,0,0.01,0.04,0.1,0.04,0.02,0.02,0.01,0.01,0.03,0.07,0.05,0.03,0.04,0.07,0.03,0.04,0.02,0.04,0.36,0.06,0.02,0.03,0.02,0.04,0.03
"North Carolina","CO",1.98,1.24,0.59,2.1,3.13,1.78,0.29,0.18,3.38,12.42,31.93,13.27,6.53,7.05,4.13,3.98,8.82,21.5,14.93,10.36,12.14,20.47,8.93,11.65,7.1,13.56,112.84,19.36,6.14,8.53,7.26,12.21,8.45
"North Carolina","NOx",0.05,0.03,0.02,0.05,0.08,0.04,0.01,0,0.09,0.32,0.82,0.34,0.17,0.19,0.11,0.1,0.23,0.54,0.38,0.27,0.31,0.52,0.23,0.3,0.19,0.35,2.87,0.5,0.16,0.22,0.21,0.32,0.23
"North Dakota","CH4",0,,0,0.02,0.01,0,0,0,0,0.09,0.02,0.01,0.08,0.02,0.07,0.02,0.06,0.01,0.01,0.06,0.04,0.01,0.07,0.01,0.01,0.02,0.01,0.06,0.04,0,0.02,0.01,0
"North Dakota","N2O",0,,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0
"North Dakota","CO",0.01,,0.13,0.44,0.27,0.03,0.01,0.04,0.02,2.15,0.46,0.28,1.83,0.59,1.48,0.51,1.45,0.2,0.14,1.7,1.13,0.37,1.56,0.19,0.28,0.51,0.17,1.33,1.04,0.12,0.67,0.14,0
"North Dakota","NOx",0,,0,0.02,0.01,0,0,0,0,0.1,0.02,0.01,0.08,0.02,0.07,0.02,0.06,0.01,0.01,0.05,0.03,0.01,0.07,0.01,0.01,0.02,0.01,0.06,0.04,0,0.02,0,0
"Ohio","CH4",,,,,,,,,,,,0,0,0.03,0.01,0.25,0,0.01,0.02,0,0,,0.02,0.01,0.03,0,0.02,,,0.03,0.02,0.03,0.09
"Ohio","N2O",,,,,,,,,,,,0,0,0,0,0.02,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0.01
"Ohio","CO",,,,,,,,,,,,0.09,0.03,1.03,0.38,7.5,0.02,0.41,0.45,0.11,0.1,,0.62,0.23,0.81,0.14,0.69,,,1,0.62,0.76,2.56
"Ohio","NOx",,,,,,,,,,,,0,0,0.03,0.01,0.19,0,0.01,0.01,0,0,,0.02,0.01,0.02,0,0.02,,,0.03,0.02,0.02,0.07
"Oklahoma","CH4",0,0.8,0.88,0.17,0.64,1.27,1.34,0.09,0.1,0.1,0.56,0.24,0.73,2.31,2.86,3.34,2.86,2.42,1.51,4.39,0.98,7.66,1.71,1.14,2.27,1.48,3.51,3.59,3.15,0.99,0.7,2.13,2.11
"Oklahoma","N2O",0,0.08,0.08,0.01,0.06,0.12,0.13,0.01,0.01,0.01,0.05,0.02,0.07,0.22,0.27,0.32,0.27,0.23,0.15,0.43,0.09,0.71,0.16,0.11,0.23,0.14,0.33,0.34,0.31,0.09,0.07,0.2,0.2
"Oklahoma","CO",0.11,23.51,25.67,3.58,17.94,37.82,39.39,1.91,2.32,2.13,15.34,7.09,21.4,68.43,84.09,98.5,83.42,70.68,44.26,128.44,27.93,223.11,49.77,33.55,68.2,43.61,103.06,103.9,91.23,28.78,20.52,63.24,61.74
"Oklahoma","NOx",0,0.61,0.65,0.08,0.45,0.97,1.06,0.05,0.06,0.05,0.39,0.18,0.57,1.8,2.18,2.61,2.17,1.89,1.18,3.49,0.72,5.73,1.32,0.88,1.82,1.15,2.7,2.81,2.52,0.75,0.53,1.63,1.57
"Oregon","CH4",2.6,2.08,3.43,0,5.49,0.17,18.24,0.14,0.2,1.52,5.19,4.13,71.68,21.65,5.7,5.54,9.21,14.92,7.44,10.52,3.59,6.88,11.63,16.63,12.67,29.88,4.24,68.27,29.3,4.64,95.43,78.53,49.68
"Oregon","N2O",0.15,0.11,0.22,0,0.33,0.01,1.09,0.01,0.02,0.12,0.34,0.27,4.1,1.17,0.34,0.33,0.55,1,0.42,0.58,0.22,0.39,0.74,0.96,0.81,1.78,0.25,3.71,1.7,0.27,5.13,4.62,2.7
"Oregon","CO",53.12,42.33,70.37,0,113.72,3.48,377.38,3.22,4.27,32.07,108.89,86.23,1476.53,441.76,117.7,115.34,190.13,310.26,153.15,216.2,74.31,139.85,243.27,344.33,262.79,619.7,87.06,1402.17,607.3,96.03,1951.2,1614.98,1017.51
"Oregon","NOx",1.02,0.54,1.75,0,2.02,0.12,6.91,0.11,0.15,0.94,2.48,1.85,23.77,6.36,2.01,1.88,3.36,7.68,2.27,3.02,1.34,2.47,4.82,5.26,5.54,10.9,1.51,19.01,9.53,1.65,26.37,29.83,14.09
"Pennsylvania","CH4",0.03,,,,,,,,,,,,,,0.09,0.03,0.1,,0.1,0.02,,,0.03,,0.05,0.06,0.21,,0.03,,0.34,0.02,0.04
"Pennsylvania","N2O",0,,,,,,,,,,,,,,0.01,0,0.01,,0.01,0,,,0,,0,0.01,0.02,,0,,0.03,0,0
"Pennsylvania","CO",1.01,,,,,,,,,,,,,,2.76,0.88,3.02,,2.7,0.62,,,0.86,,1.36,1.78,6.06,,0.89,,10.01,0.52,1.19
"Pennsylvania","NOx",0.02,,,,,,,,,,,,,,0.07,0.02,0.07,,0.06,0.01,,,0.02,,0.03,0.06,0.15,,0.03,,0.26,0.01,0.03
"South Carolina","CH4",0.07,0.17,0.11,0.11,0.32,0.07,0.1,0.14,0.09,0.16,0.06,0.26,0.46,0.31,1.4,0.87,0.64,0.75,1.64,1.94,1.78,0.62,0.28,1.07,0.96,0.53,1.1,0.87,0.68,0.43,0.33,0.28,0.32
"South Carolina","N2O",0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.03,0.13,0.08,0.06,0.07,0.15,0.18,0.16,0.06,0.03,0.1,0.09,0.05,0.1,0.07,0.06,0.03,0.03,0.02,0.03
"South Carolina","CO",1.85,4.63,2.87,2.8,9.02,1.9,2.73,3.75,2.45,4.45,1.67,7.32,12.93,8.55,39.78,24.9,18.1,21.14,45.92,54.19,48.07,17.6,7.92,29.59,26.62,14.12,30.42,22.79,17.82,10.97,8.13,6.99,8.18
"South Carolina","NOx",0.05,0.12,0.07,0.07,0.23,0.05,0.07,0.1,0.07,0.12,0.04,0.19,0.34,0.22,1.02,0.64,0.47,0.56,1.26,1.49,1.36,0.45,0.2,0.83,0.74,0.4,0.77,0.58,0.46,0.29,0.26,0.21,0.24
"South Dakota","CH4",0.36,0.19,0.05,0,0.02,0.02,0.04,0.03,0.01,0.08,0.68,0.45,1.32,0.61,0.02,0.14,0.25,0.71,0,0.05,0.07,0.24,0.95,0.01,0.16,0.22,0.25,0.1,0.01,0.01,0.02,0.04,0.16
"South Dakota","N2O",0.03,0.02,0,0,0,0,0,0,0,0.01,0.06,0.04,0.12,0.05,0,0.01,0.02,0.06,0,0,0.01,0.02,0.09,0,0.02,0.02,0.02,0.01,0,0,0,0,0.01
"South Dakota","CO",7.21,3.9,0.93,0.01,0.43,0.36,0.71,0.59,0.19,1.73,13.7,9,26.34,12.15,0.32,2.72,5.13,14.22,0.05,0.91,1.4,4.9,19.07,0.17,3.39,4.29,4.95,2,0.33,0.17,0.48,0.83,3.2
"South Dakota","NOx",0.43,0.23,0.06,0,0.02,0.02,0.05,0.04,0.01,0.1,0.79,0.53,1.57,0.71,0.02,0.16,0.28,0.82,0,0.06,0.09,0.29,1.1,0.01,0.2,0.28,0.29,0.11,0.01,0.01,0.02,0.03,0.12
"Tennessee","CH4",,0.11,,,0.1,,0.03,0.03,0.09,0.24,2.77,2.18,0.08,0.44,0.21,0.76,0.38,0.9,0.31,0.44,0.66,0.11,0.21,0.38,0.43,0.29,2.22,0.11,0.21,0.12,0.18,0.31,0.19
"Tennessee","N2O",,0.01,,,0.01,,0,0,0.01,0.02,0.26,0.21,0.01,0.04,0.02,0.07,0.04,0.09,0.03,0.04,0.07,0.01,0.02,0.04,0.04,0.03,0.21,0.01,0.02,0.01,0.02,0.03,0.02
"Tennessee","CO",,3.47,,,3.15,,0.9,0.91,2.79,7.14,81.63,64.9,2.21,12.89,6.02,22.66,11.35,27,9.32,13.21,19.98,3.23,6.29,11.38,13.01,8.45,64.34,3.14,6.31,3.72,4.98,8.57,5.5
"Tennessee","NOx",,0.09,,,0.08,,0.02,0.02,0.08,0.18,2.1,1.7,0.06,0.36,0.17,0.6,0.3,0.71,0.24,0.35,0.52,0.09,0.16,0.3,0.34,0.23,1.68,0.08,0.16,0.1,0.13,0.22,0.14
"Texas","CH4",0.01,0.04,0,0.01,0.05,0.06,0.49,0,0.04,0.06,0.44,0.09,0.14,0.27,0.27,0.37,0.73,0.17,0.53,0.81,1.36,5.65,0.17,0.89,1.09,0.5,1.1,1.89,1.07,0.83,0.33,1.01,1.19
"Texas","N2O",0,0,0,0,0.01,0.01,0.04,0,0,0.01,0.04,0.01,0.01,0.02,0.02,0.04,0.07,0.02,0.05,0.07,0.11,0.51,0.02,0.07,0.09,0.04,0.09,0.15,0.09,0.06,0.02,0.07,0.1
"Texas","CO",0.25,0.91,0,0.21,1.3,1.41,12.48,0.04,1.03,1.71,11.53,2.26,3.7,7.18,6.98,9.72,18.87,4.49,13.34,21.39,33.94,150.72,4.64,22.29,27.23,12.93,26.92,46.96,27.93,21.31,8.15,23.56,33.18
"Texas","NOx",0.01,0.04,0,0.01,0.05,0.05,0.37,0,0.04,0.05,0.33,0.07,0.11,0.21,0.22,0.33,0.58,0.16,0.47,0.64,0.9,4.37,0.13,0.62,0.74,0.34,0.76,1.24,0.74,0.53,0.2,0.6,0.85
"Utah","CH4",0.14,0,0.05,0.12,0.4,0.05,0.18,0.05,0,0.08,0.44,0.89,7.53,0.64,0.83,0.91,0.46,1.88,0.38,1.25,0.82,0.06,3.31,0.33,0.15,0.08,1.53,6.63,9.79,2.24,3.51,1.19,1.64
"Utah","N2O",0.01,0,0.01,0.01,0.03,0,0.01,0,0,0.01,0.03,0.06,0.53,0.05,0.06,0.05,0.03,0.14,0.03,0.09,0.06,0,0.26,0.02,0.01,0.01,0.1,0.44,0.63,0.16,0.2,0.09,0.1
"Utah","CO",3,0.01,1.08,2.48,8.75,1.21,3.8,1.08,0,1.76,9.32,19,159.95,13.9,17.61,18.85,9.58,39.93,8.08,26.69,17.73,1.18,71.28,6.97,3.18,1.67,31.77,139.14,204.92,47.74,72.79,25.49,34.08
"Utah","NOx",0.08,0,0.05,0.07,0.25,0.04,0.11,0.02,0,0.07,0.19,0.45,3.68,0.41,0.39,0.33,0.23,0.96,0.19,0.59,0.44,0.03,1.92,0.14,0.06,0.05,0.61,2.92,3.99,1.09,1.14,0.65,0.54
"Vermont","CH4",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
"Vermont","N2O",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
"Vermont","CO",,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,0,0.01
"Vermont","NOx",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
"Virginia","CH4",,0.11,,,0.02,0.34,,,0.26,0.57,1.6,0.32,0.53,0.51,0.62,0.36,0.67,0.21,1.04,0.1,0.43,0.51,1.45,0.3,0.86,0.43,0.87,0.35,0.37,0.43,0.23,0.39,0.3
"Virginia","N2O",,0.01,,,0,0.03,,,0.02,0.05,0.15,0.03,0.05,0.05,0.06,0.03,0.06,0.02,0.1,0.01,0.04,0.05,0.14,0.03,0.08,0.04,0.08,0.03,0.03,0.04,0.02,0.03,0.03
"Virginia","CO",,2.83,,,0.65,9.31,,,7.58,16.3,45.6,8.74,14.18,14.04,17.05,9.93,18.58,6.2,29.5,2.78,11.99,14.41,41.3,8.54,25.07,12.16,25.33,9.55,10.28,12.21,6.23,10.66,8.59
"Virginia","NOx",,0.08,,,0.02,0.24,,,0.17,0.4,1.03,0.25,0.36,0.38,0.47,0.27,0.49,0.16,0.77,0.07,0.31,0.38,1.04,0.21,0.63,0.32,0.64,0.26,0.27,0.32,0.16,0.28,0.22
"Washington","CH4",0.32,0.62,0.13,0,8.59,0.01,0.98,0.06,1.22,0.15,1.6,6.57,4.21,11.28,5.22,4.56,30.04,2.69,2.75,1.49,1.34,0.83,11.13,3.46,7.67,64.44,2.02,29.85,16.13,2.09,7.79,40.39,19.46
"Washington","N2O",0.02,0.04,0.01,0,0.51,0,0.06,0,0.07,0.01,0.1,0.39,0.24,0.61,0.31,0.27,1.59,0.17,0.16,0.09,0.08,0.05,0.63,0.22,0.47,3.72,0.12,1.49,0.87,0.14,0.44,2.32,1
"Washington","CO",6.55,13.09,2.79,0.07,180.07,0.19,20.38,1.31,25.58,3.04,33.65,137.37,87.44,231.19,109.6,95.72,613.65,56.82,57.3,30.62,27.94,17.25,230.03,72.13,160.49,1342.45,41.27,600.16,330.01,43.57,159.55,838.16,393.99
"Washington","NOx",0.1,0.23,0.06,0,2.86,0,0.29,0.02,0.43,0.05,0.68,2.11,1.3,3.05,1.67,1.52,7.99,0.91,0.89,0.53,0.41,0.27,3.44,1.43,2.93,19.84,0.7,7.19,4.51,1.1,2.63,12.86,5.05
"West Virginia","CH4",,23.03,,0.04,1.32,0.89,,,0.18,4.56,0.75,3.39,0.01,0.02,0.14,0.27,0.06,0.11,0.02,0.13,0.81,,0.28,0.24,0.04,0.57,0.22,0.07,0.12,0.02,0.03,0.1,0.34
"West Virginia","N2O",,2.25,,0,0.13,0.09,,,0.02,0.44,0.07,0.33,0,0,0.01,0.03,0.01,0.01,0,0.01,0.08,,0.03,0.02,0,0.06,0.02,0.01,0.01,0,0,0.01,0.03
"West Virginia","CO",,691.32,,1.06,39.44,26.76,,,5.33,137.09,22.4,101.32,0.39,0.61,4.24,8.24,1.71,3.35,0.71,3.78,24.41,,8.48,7.1,1.09,17.29,6.57,2.09,3.44,0.71,0.9,2.79,9.77
"West Virginia","NOx",,17.87,,0.03,1.03,0.7,,,0.15,3.54,0.57,2.62,0.01,0.02,0.11,0.21,0.04,0.09,0.02,0.1,0.6,,0.21,0.18,0.03,0.4,0.17,0.04,0.09,0.02,0.02,0.06,0.25
"Wisconsin","CH4",,,,,0.02,,,0.04,0.04,,,0.01,0,1.15,0.07,0.07,0.06,0.08,0.01,0.02,0.04,0.07,0.22,0.21,0.05,0.1,0.07,0.02,0.28,0.11,0,0.1,0.13
"Wisconsin","N2O",,,,,0,,,0,0,,,0,0,0.11,0.01,0.01,0.01,0.01,0,0,0,0.01,0.02,0.02,0,0.01,0.01,0,0.02,0.01,0,0.01,0.01
"Wisconsin","CO",,,,,0.65,,,1.14,1.09,,,0.34,0.04,34.6,2.06,1.92,1.86,2.39,0.19,0.66,1.11,2.08,6.04,5.98,1.4,2.9,2.03,0.65,7.84,3.18,0.01,2.84,3.75
"Wisconsin","NOx",,,,,0.02,,,0.03,0.03,,,0.01,0,0.82,0.05,0.04,0.05,0.05,0,0.02,0.03,0.05,0.12,0.14,0.03,0.07,0.05,0.01,0.16,0.06,0,0.06,0.08
"Wyoming","CH4",,0.26,0.01,0,0.93,0,1.26,0.13,0.06,0.19,7.22,1.71,4.66,6.84,0.22,1.14,5.64,5.82,8.75,0.94,0.57,4.97,12.29,4.38,0.3,0.32,6.65,1.05,6.23,0.88,5.17,2.08,0.81
"Wyoming","N2O",,0.01,0,0,0.05,0,0.08,0.01,0,0.01,0.42,0.1,0.29,0.35,0.02,0.06,0.34,0.31,0.47,0.06,0.04,0.26,0.75,0.22,0.02,0.02,0.37,0.06,0.38,0.05,0.32,0.11,0.05
"Wyoming","CO",,5.35,0.23,0.03,19.02,0,26.25,2.74,1.36,4.04,148.46,34.67,95.57,137.25,4.38,22.73,113.53,117.66,179.54,19.66,12,99.97,248.97,88.55,6.04,6.65,136.27,21.43,128.8,17.89,108.97,42.53,16.28
"Wyoming","NOx",,0.08,0,0,0.29,0,0.55,0.12,0.02,0.1,2.39,0.72,1.94,1.91,0.19,0.43,2.61,1.64,2.38,0.34,0.21,1.45,5.5,1.11,0.08,0.12,1.98,0.32,2.37,0.25,1.77,0.61,0.36
"U.S. Territories","CH4",,,,,,,,,,,,,,,,0.06,,0.02,,,,,,0.02,,,,,,,0,0,0
"U.S. Territories","N2O",,,,,,,,,,,,,,,,0,,0,,,,,,0,,,,,,,0,0,0
"U.S. Territories","CO",,,,,,,,,,,,,,,,0.76,,0.31,,,,,,0.32,,,,,,,0,0,0.05
"U.S. Territories","NOx",,,,,,,,,,,,,,,,0.01,,0,,,,,,0,,,,,,,0,0,0
